"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"51000","Virginia","5","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",1013314,1113110,1193015,1308226,1438349,1585287,1761767,1936765,2075858,2251242,2392968,2777702,3255265,3676776,4038751,4533477,5163278,5671282,6132422,6863674,7953548,8922137,10590241,12668797,14372735,15619123,17699936,19143451,20574457,21710411,24005596,26876360,28238129,29200692,30396332,32369292,34478012,36428626,38378630,40747957,42859609,43690110,47511953,48580471,49033847,51936067,53596621,58157508,65644211,71783780,72866607,66213595,66083740,73093320,81411369,80825032,84058581
"51000","Virginia","5","SA40","91","...","  Personal dividend income",186047,208116,233309,248072,271876,286084,336945,375717,387879,392786,425240,447928,463174,490603,540219,617827,701230,719461,850289,973288,1116710,1276240,1426347,1642408,1699072,1884730,2072288,2222917,2450375,2670760,3198420,3895196,4206511,4567831,4796209,5284296,6241470,6762511,7745236,8482117,8713876,8567975,9767131,9532093,10808905,12535798,14939500,15675028,19403284,21404207,21234162,14661339,14340449,17320727,22265997,20698959,21321550
"51000","Virginia","5","SA40","92","...","  Personal interest income",583642,651013,689037,767870,848713,963572,1078092,1202391,1316826,1470743,1584273,1916844,2383314,2743466,3044506,3466962,4013924,4513168,4883168,5589572,6537879,7362976,8830416,10605918,12269527,13265478,15138982,16415779,17759645,18719829,20330331,22517896,23439397,23767028,24109532,24822189,25466180,26607441,27148552,28662871,30030892,30600679,33184207,33975795,32894542,33292314,31782477,35787224,40572403,45618821,44633192,42032975,39888642,41199954,43319291,43160776,44252770
"51000","Virginia","5","SA40","93","...","    Imputed interest receipts 1/",420123,474974,496270,549629,599552,681030,761075,834305,907395,1009382,1098389,1333836,1696696,1973807,2189281,2433021,2749291,3154995,3365206,3790177,4468204,4787766,5432871,6067155,6915246,8014313,8651256,9708200,10731891,11712828,12543433,13481713,14198216,14961783,15935097,16918708,17541411,18364135,18688204,19972453,19950570,20850729,22108075,22530590,23149654,23865676,24393521,25578756,27512749,29633894,30331604,30514196,30409024,31222869,32016546,32925982,33635289
"51000","Virginia","5","SA40","94","...","    Monetary interest receipts",163519,176039,192767,218241,249161,282542,317017,368086,409431,461361,485884,583008,686618,769659,855225,1033941,1264633,1358173,1517962,1799395,2069675,2575210,3397545,4538763,5354281,5251165,6487726,6707579,7027754,7007001,7786898,9036183,9241181,8805245,8174435,7903481,7924769,8243306,8460348,8690418,10080322,9749950,11076132,11445205,9744888,9426638,7388956,10208468,13059654,15984927,14301588,11518779,9479618,9977085,11302745,10234794,10617481
"51000","Virginia","5","SA40","95","...","  Rental income of persons 2/",243625,253981,270669,292284,317760,335631,346730,358657,371153,387713,383455,412930,408777,442707,454026,448688,448124,438653,398965,300814,298959,282921,333478,420471,404136,468915,488666,504755,364437,319822,476845,463268,592221,865833,1490591,2262807,2770362,3058674,3484842,3602969,4114841,4521456,4560615,5072583,5330400,6107955,6874644,6695256,5668524,4760752,6999253,9519281,11854649,14572639,15826081,16965297,18484261
"51000","Virginia","5","SA40","96","...","    Imputed rent",166418,183679,199942,220825,243794,259872,269318,282124,298843,314782,312278,342707,337910,359784,355844,336764,344313,320895,275176,158757,159980,128835,126180,131125,46685,25680,-36685,-115265,-258811,-277785,-117730,-118373,-37416,110865,494510,1128515,1586830,1775539,2177583,2250532,2717795,3115770,3261688,3699715,3978288,4734586,5435271,5001499,4015248,2865771,4652869,7063040,8959332,11075195,12143050,13293907,14635307
"51000","Virginia","5","SA40","97","...","    Monetary rent",77207,70302,70727,71459,73966,75759,77412,76533,72310,72931,71177,70223,70867,82923,98182,111924,103811,117758,123789,142057,138979,154086,207298,289346,357451,443235,525351,620020,623248,597607,594575,581641,629637,754968,996081,1134292,1183532,1283135,1307259,1352437,1397046,1405686,1298927,1372868,1352112,1373369,1439373,1693757,1653276,1894981,2346384,2456241,2895317,3497444,3683031,3671390,3848954
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
