"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27000","Minnesota","4","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",930992,1002879,1070037,1128931,1197423,1287093,1386760,1514714,1606810,1714923,1864504,2080245,2282228,2472823,2644353,2972722,3426988,3843784,4112834,4602393,5114881,5767132,7011033,8653760,10206498,10836274,12115838,12755411,13432175,13705181,14375571,16202147,17329925,17477981,17888330,18406020,19885209,21992005,23491322,25455411,27553954,27891437,30164022,30374337,29612284,31385621,32566914,33406723,37270402,40201626,41150374,36815171,37251326,41423706,46237896,45705780,47507553
"27000","Minnesota","4","SA40","91","...","  Personal dividend income",173430,196025,211392,217799,222502,246207,273653,314752,308210,322315,345696,350470,352569,363652,388993,443576,504643,516113,607677,697708,798298,911522,1013532,1164362,1267216,1323257,1448557,1639944,1843796,2014121,2403011,3005034,3313787,3617259,3982514,4321008,5246113,5841156,6699999,7446947,8283563,8516686,9271206,9021953,9273902,10191840,12226716,12380526,15030457,16552131,15972480,11273503,11257566,13720777,16568493,15791645,16341445
"27000","Minnesota","4","SA40","92","...","  Personal interest income",448481,487521,530145,557413,614074,659413,732158,810603,886627,985295,1104713,1305671,1509847,1660759,1810112,2055898,2441008,2867681,3083431,3558430,3962163,4515308,5572792,6934411,8358006,8995218,10135040,10586496,11204481,11344814,11555599,12788745,13507741,13167004,12856763,12520943,12729868,13947383,14380358,15471292,16386397,16193364,17628976,17637730,16442446,16887173,15790013,16867804,18704475,20587491,20874513,19942447,19161803,19414785,20772577,20449660,20913912
"27000","Minnesota","4","SA40","93","...","    Imputed interest receipts 1/",169515,188454,209125,232497,248892,264476,297038,319943,351975,390893,437625,531294,634701,716188,793904,864278,1018938,1326658,1380400,1547375,1730512,1799488,2134071,2452637,3031055,3828469,4063297,4627415,5105054,5491229,5601819,5954780,6351748,6574557,6868009,7043828,7232728,7896479,8060570,8837930,8823727,9020565,9557187,9410038,9518486,9952078,10132420,9886473,10368175,10992361,11815377,12294355,12477885,12531506,12940330,13341015,13522587
"27000","Minnesota","4","SA40","94","...","    Monetary interest receipts",278966,299067,321020,324916,365182,394937,435120,490660,534652,594402,667088,774377,875146,944571,1016208,1191620,1422070,1541023,1703031,2011055,2231651,2715820,3438721,4481774,5326951,5166749,6071743,5959081,6099427,5853585,5953780,6833965,7155993,6592447,5988754,5477115,5497140,6050904,6319788,6633362,7562670,7172799,8071789,8227692,6923960,6935095,5657593,6981331,8336300,9595130,9059136,7648092,6683918,6883279,7832247,7108645,7391325
"27000","Minnesota","4","SA40","95","...","  Rental income of persons 2/",309081,319333,328500,353719,360847,381473,380949,389359,411973,407313,414095,424104,419812,448412,445248,473248,481337,459990,421726,346255,354420,340302,424709,554987,581276,517799,532241,528971,383898,346246,416961,408368,508397,693718,1049053,1564069,1909228,2203466,2410965,2537172,2883994,3181387,3263840,3714654,3895936,4306608,4550185,4158393,3535470,3062004,4303381,5599221,6831957,8288144,8896826,9464475,10252196
"27000","Minnesota","4","SA40","96","...","    Imputed rent",183833,201425,217942,230095,244873,252635,254532,260088,269552,278383,271540,302691,314365,330738,327942,307430,311963,294847,256902,163560,159362,131870,128743,127739,58863,33377,-9770,-66185,-154895,-156762,-55225,-45527,9222,94708,309835,706226,1012261,1153643,1424794,1480481,1792306,2059974,2185118,2492460,2713696,3131604,3333710,2882286,2226793,1615777,2547077,3756643,4642246,5668919,6020280,6597617,7246822
"27000","Minnesota","4","SA40","97","...","    Monetary rent",125248,117908,110558,123624,115974,128838,126417,129271,142421,128930,142555,121413,105447,117674,117306,165818,169374,165143,164824,182695,195058,208432,295966,427248,522413,484422,542011,595156,538793,503008,472186,453895,499175,599010,739218,857843,896967,1049823,986171,1056691,1091688,1121413,1078722,1222194,1182240,1175004,1216475,1276107,1308677,1446227,1756304,1842578,2189711,2619225,2876546,2866858,3005374
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 30, 2015-- new estimates for 2014; revised estimates for 1998-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
